Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.64      0.62      0.63        40
     class2       0.24      0.19      0.21        31
     class3       0.37      0.35      0.36        40
     class4       0.43      0.40      0.41        15
     class5       0.34      0.37      0.35        30
     class6       0.62      0.70      0.66        47
     class7       0.19      0.12      0.15        25
     class8       0.64      0.58      0.61        24
     class9       0.23      0.25      0.24        28
    class10       0.37      0.47      0.41        38
    class11       0.31      0.30      0.31        33
    class12       0.30      0.24      0.27        25
    class13       0.38      0.23      0.29        13
    class14       0.31      0.30      0.30        27
    class15       0.67      0.85      0.75        26
    class16       0.42      0.38      0.40        34
    class17       0.62      0.71      0.66        48
    class18       0.20      0.24      0.21        38
    class19       0.28      0.29      0.29        48
    class20       0.27      0.18      0.22        22
    class21       0.40      0.38      0.39        47
    class22       0.28      0.28      0.28        43
    class23       0.44      0.43      0.44        44
    class24       0.35      0.40      0.37        48
    class25       0.42      0.29      0.34        35
    class26       0.31      0.33      0.32        15
    class27       0.20      0.21      0.20        34
    class28       0.38      0.51      0.44        35
    class29       0.50      0.28      0.36        18

avg / total       0.39      0.39      0.39       951
Cross_val2, PCA_comp:180MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.55      0.65      0.60        40
     class2       0.23      0.19      0.21        31
     class3       0.68      0.42      0.52        40
     class4       0.40      0.40      0.40        15
     class5       0.44      0.47      0.45        30
     class6       0.65      0.72      0.69        47
     class7       0.17      0.16      0.16        25
     class8       0.57      0.54      0.55        24
     class9       0.20      0.21      0.21        28
    class10       0.47      0.45      0.46        38
    class11       0.31      0.27      0.29        33
    class12       0.11      0.12      0.12        25
    class13       0.25      0.15      0.19        13
    class14       0.33      0.33      0.33        27
    class15       0.70      0.88      0.78        26
    class16       0.41      0.35      0.38        34
    class17       0.58      0.60      0.59        48
    class18       0.21      0.29      0.24        38
    class19       0.21      0.21      0.21        48
    class20       0.32      0.27      0.29        22
    class21       0.35      0.38      0.37        47
    class22       0.27      0.30      0.28        43
    class23       0.40      0.36      0.38        44
    class24       0.32      0.38      0.34        48
    class25       0.46      0.31      0.37        35
    class26       0.41      0.47      0.44        15
    class27       0.23      0.21      0.22        34
    class28       0.41      0.51      0.46        35
    class29       0.57      0.22      0.32        18

avg / total       0.39      0.39      0.39       951
Cross_val2, PCA_comp:250MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.54      0.68      0.60        40
     class2       0.23      0.23      0.23        31
     class3       0.52      0.38      0.43        40
     class4       0.54      0.47      0.50        15
     class5       0.38      0.37      0.37        30
     class6       0.65      0.60      0.62        47
     class7       0.20      0.16      0.18        25
     class8       0.46      0.50      0.48        24
     class9       0.15      0.14      0.15        28
    class10       0.36      0.42      0.39        38
    class11       0.36      0.36      0.36        33
    class12       0.21      0.12      0.15        25
    class13       0.50      0.23      0.32        13
    class14       0.21      0.22      0.22        27
    class15       0.68      0.88      0.77        26
    class16       0.37      0.29      0.33        34
    class17       0.60      0.69      0.64        48
    class18       0.20      0.24      0.21        38
    class19       0.28      0.38      0.32        48
    class20       0.18      0.14      0.15        22
    class21       0.32      0.30      0.31        47
    class22       0.25      0.33      0.28        43
    class23       0.40      0.39      0.39        44
    class24       0.35      0.35      0.35        48
    class25       0.38      0.26      0.31        35
    class26       0.38      0.40      0.39        15
    class27       0.23      0.18      0.20        34
    class28       0.44      0.57      0.50        35
    class29       0.42      0.28      0.33        18

avg / total       0.37      0.38      0.37       951
Cross_val3, PCA_comp:60MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.59      0.47      0.53        40
     class2       0.23      0.26      0.24        31
     class3       0.44      0.30      0.36        40
     class4       0.62      0.53      0.57        15
     class5       0.32      0.47      0.38        30
     class6       0.69      0.74      0.71        47
     class7       0.22      0.20      0.21        25
     class8       0.68      0.62      0.65        24
     class9       0.28      0.18      0.22        28
    class10       0.44      0.47      0.46        38
    class11       0.21      0.18      0.20        33
    class12       0.25      0.24      0.24        25
    class13       0.31      0.38      0.34        13
    class14       0.31      0.37      0.34        27
    class15       0.75      0.81      0.78        26
    class16       0.29      0.32      0.31        34
    class17       0.71      0.52      0.60        48
    class18       0.25      0.26      0.26        38
    class19       0.24      0.31      0.27        48
    class20       0.22      0.18      0.20        22
    class21       0.33      0.38      0.36        47
    class22       0.21      0.16      0.18        43
    class23       0.43      0.64      0.51        44
    class24       0.33      0.31      0.32        48
    class25       0.38      0.49      0.42        35
    class26       0.60      0.40      0.48        15
    class27       0.23      0.18      0.20        34
    class28       0.54      0.43      0.48        35
    class29       0.44      0.39      0.41        18

avg / total       0.40      0.39      0.39       951
Cross_val3, PCA_comp:80MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.45      0.50      0.48        40
     class2       0.24      0.26      0.25        31
     class3       0.47      0.38      0.42        40
     class4       0.70      0.47      0.56        15
     class5       0.36      0.30      0.33        30
     class6       0.66      0.70      0.68        47
     class7       0.25      0.32      0.28        25
     class8       0.55      0.67      0.60        24
     class9       0.22      0.21      0.22        28
    class10       0.32      0.37      0.34        38
    class11       0.23      0.21      0.22        33
    class12       0.21      0.12      0.15        25
    class13       0.62      0.62      0.62        13
    class14       0.38      0.37      0.38        27
    class15       0.78      0.81      0.79        26
    class16       0.32      0.35      0.33        34
    class17       0.66      0.60      0.63        48
    class18       0.15      0.18      0.16        38
    class19       0.25      0.29      0.27        48
    class20       0.36      0.36      0.36        22
    class21       0.32      0.32      0.32        47
    class22       0.13      0.12      0.12        43
    class23       0.49      0.57      0.53        44
    class24       0.33      0.35      0.34        48
    class25       0.46      0.31      0.37        35
    class26       0.55      0.40      0.46        15
    class27       0.32      0.21      0.25        34
    class28       0.43      0.46      0.44        35
    class29       0.42      0.56      0.48        18

avg / total       0.39      0.39      0.38       951
Cross_val3, PCA_comp:100MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.46      0.47      0.47        40
     class2       0.28      0.26      0.27        31
     class3       0.36      0.33      0.34        40
     class4       0.54      0.47      0.50        15
     class5       0.43      0.33      0.38        30
     class6       0.67      0.68      0.67        47
     class7       0.19      0.24      0.21        25
     class8       0.48      0.62      0.55        24
     class9       0.24      0.21      0.23        28
    class10       0.31      0.34      0.33        38
    class11       0.26      0.18      0.21        33
    class12       0.16      0.12      0.14        25
    class13       0.67      0.62      0.64        13
    class14       0.41      0.41      0.41        27
    class15       0.74      0.77      0.75        26
    class16       0.29      0.35      0.32        34
    class17       0.63      0.60      0.62        48
    class18       0.10      0.11      0.10        38
    class19       0.33      0.33      0.33        48
    class20       0.26      0.27      0.27        22
    class21       0.39      0.38      0.39        47
    class22       0.10      0.12      0.11        43
    class23       0.52      0.59      0.55        44
    class24       0.43      0.38      0.40        48
    class25       0.35      0.31      0.33        35
    class26       0.38      0.33      0.36        15
    class27       0.19      0.15      0.17        34
    class28       0.44      0.51      0.47        35
    class29       0.36      0.50      0.42        18

avg / total       0.38      0.38      0.38       951
Cross_val3, PCA_comp:180MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.54      0.50      0.52        40
     class2       0.23      0.23      0.23        31
     class3       0.41      0.38      0.39        40
     class4       0.75      0.60      0.67        15
     class5       0.40      0.33      0.36        30
     class6       0.61      0.60      0.60        47
     class7       0.21      0.32      0.25        25
     class8       0.41      0.58      0.48        24
     class9       0.31      0.29      0.30        28
    class10       0.35      0.50      0.41        38
    class11       0.18      0.18      0.18        33
    class12       0.21      0.12      0.15        25
    class13       0.36      0.38      0.37        13
    class14       0.44      0.41      0.42        27
    class15       0.71      0.77      0.74        26
    class16       0.29      0.35      0.32        34
    class17       0.68      0.56      0.61        48
    class18       0.07      0.08      0.08        38
    class19       0.25      0.31      0.28        48
    class20       0.35      0.32      0.33        22
    class21       0.27      0.30      0.28        47
    class22       0.10      0.09      0.10        43
    class23       0.46      0.52      0.49        44
    class24       0.41      0.27      0.33        48
    class25       0.43      0.37      0.40        35
    class26       0.28      0.33      0.30        15
    class27       0.35      0.24      0.28        34
    class28       0.49      0.49      0.49        35
    class29       0.41      0.39      0.40        18

avg / total       0.38      0.37      0.37       951
Cross_val3, PCA_comp:250MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.55      0.53      0.54        40
     class2       0.23      0.26      0.24        31
     class3       0.39      0.35      0.37        40
     class4       0.67      0.53      0.59        15
     class5       0.30      0.30      0.30        30
     class6       0.60      0.55      0.58        47
     class7       0.28      0.28      0.28        25
     class8       0.52      0.58      0.55        24
     class9       0.26      0.25      0.25        28
    class10       0.33      0.34      0.33        38
    class11       0.18      0.12      0.15        33
    class12       0.13      0.08      0.10        25
    class13       0.40      0.46      0.43        13
    class14       0.34      0.37      0.36        27
    class15       0.68      0.65      0.67        26
    class16       0.29      0.35      0.32        34
    class17       0.65      0.65      0.65        48
    class18       0.13      0.18      0.16        38
    class19       0.19      0.21      0.20        48
    class20       0.24      0.18      0.21        22
    class21       0.39      0.38      0.39        47
    class22       0.18      0.19      0.18        43
    class23       0.44      0.50      0.47        44
    class24       0.34      0.27      0.30        48
    class25       0.34      0.31      0.33        35
    class26       0.29      0.47      0.36        15
    class27       0.28      0.21      0.24        34
    class28       0.49      0.57      0.53        35
    class29       0.33      0.39      0.36        18

avg / total       0.36      0.36      0.36       951
Cross_val4, PCA_comp:60MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.57      0.42      0.49        40
     class2       0.29      0.26      0.27        31
     class3       0.44      0.45      0.44        40
     class4       0.33      0.27      0.30        15
     class5       0.29      0.23      0.26        30
     class6       0.58      0.64      0.61        47
     class7       0.30      0.28      0.29        25
     class8       0.62      0.62      0.62        24
     class9       0.21      0.21      0.21        28
    class10       0.46      0.47      0.47        38
    class11       0.30      0.36      0.33        33
    class12       0.22      0.20      0.21        25
    class13       0.09      0.08      0.08        13
    class14       0.24      0.26      0.25        27
    class15       0.62      0.69      0.65        26
    class16       0.22      0.26      0.24        34
    class17       0.73      0.69      0.71        48
    class18       0.20      0.24      0.22        38
    class19       0.33      0.27      0.30        48
    class20       0.35      0.36      0.36        22
    class21       0.35      0.38      0.36        47
    class22       0.29      0.28      0.29        43
    class23       0.54      0.57      0.56        44
    class24       0.38      0.44      0.41        48
    class25       0.29      0.29      0.29        35
    class26       0.47      0.53      0.50        15
    class27       0.22      0.18      0.20        34
    class28       0.53      0.57      0.55        35
    class29       0.33      0.28      0.30        18

avg / total       0.39      0.39      0.39       951
Cross_val4, PCA_comp:80MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.56      0.45      0.50        40
     class2       0.25      0.26      0.25        31
     class3       0.34      0.35      0.35        40
     class4       0.27      0.20      0.23        15
     class5       0.24      0.20      0.22        30
     class6       0.62      0.74      0.68        47
     class7       0.11      0.12      0.11        25
     class8       0.42      0.58      0.49        24
     class9       0.24      0.18      0.20        28
    class10       0.42      0.45      0.44        38
    class11       0.31      0.33      0.32        33
    class12       0.23      0.20      0.21        25
    class13       0.20      0.15      0.17        13
    class14       0.27      0.33      0.30        27
    class15       0.63      0.73      0.68        26
    class16       0.42      0.38      0.40        34
    class17       0.65      0.62      0.64        48
    class18       0.22      0.26      0.24        38
    class19       0.37      0.33      0.35        48
    class20       0.41      0.41      0.41        22
    class21       0.33      0.34      0.34        47
    class22       0.26      0.26      0.26        43
    class23       0.60      0.57      0.58        44
    class24       0.39      0.48      0.43        48
    class25       0.38      0.31      0.34        35
    class26       0.45      0.60      0.51        15
    class27       0.19      0.18      0.18        34
    class28       0.46      0.46      0.46        35
    class29       0.33      0.17      0.22        18

avg / total       0.38      0.39      0.38       951
Cross_val4, PCA_comp:100MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.55      0.42      0.48        40
     class2       0.32      0.26      0.29        31
     class3       0.31      0.38      0.34        40
     class4       0.23      0.20      0.21        15
     class5       0.20      0.13      0.16        30
     class6       0.57      0.70      0.63        47
     class7       0.21      0.24      0.23        25
     class8       0.38      0.54      0.45        24
     class9       0.17      0.14      0.15        28
    class10       0.46      0.47      0.47        38
    class11       0.34      0.36      0.35        33
    class12       0.26      0.24      0.25        25
    class13       0.20      0.15      0.17        13
    class14       0.23      0.22      0.23        27
    class15       0.73      0.73      0.73        26
    class16       0.39      0.32      0.35        34
    class17       0.69      0.71      0.70        48
    class18       0.16      0.24      0.19        38
    class19       0.28      0.27      0.28        48
    class20       0.32      0.27      0.29        22
    class21       0.36      0.43      0.39        47
    class22       0.17      0.14      0.15        43
    class23       0.58      0.48      0.53        44
    class24       0.37      0.35      0.36        48
    class25       0.35      0.34      0.35        35
    class26       0.38      0.40      0.39        15
    class27       0.18      0.21      0.19        34
    class28       0.53      0.57      0.55        35
    class29       0.29      0.22      0.25        18

avg / total       0.37      0.37      0.37       951
Cross_val4, PCA_comp:180MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.64      0.57      0.61        40
     class2       0.29      0.39      0.33        31
     class3       0.45      0.35      0.39        40
     class4       0.20      0.20      0.20        15
     class5       0.21      0.13      0.16        30
     class6       0.63      0.66      0.65        47
     class7       0.20      0.24      0.22        25
     class8       0.44      0.58      0.50        24
     class9       0.17      0.18      0.18        28
    class10       0.49      0.45      0.47        38
    class11       0.30      0.27      0.29        33
    class12       0.21      0.16      0.18        25
    class13       0.14      0.15      0.15        13
    class14       0.24      0.22      0.23        27
    class15       0.72      0.81      0.76        26
    class16       0.19      0.21      0.20        34
    class17       0.57      0.62      0.59        48
    class18       0.20      0.24      0.22        38
    class19       0.23      0.23      0.23        48
    class20       0.28      0.32      0.30        22
    class21       0.31      0.36      0.33        47
    class22       0.10      0.12      0.11        43
    class23       0.56      0.43      0.49        44
    class24       0.40      0.40      0.40        48
    class25       0.39      0.31      0.35        35
    class26       0.41      0.47      0.44        15
    class27       0.19      0.18      0.18        34
    class28       0.55      0.51      0.53        35
    class29       0.31      0.28      0.29        18

avg / total       0.36      0.36      0.36       951
Cross_val4, PCA_comp:250MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.60      0.45      0.51        40
     class2       0.29      0.39      0.33        31
     class3       0.42      0.28      0.33        40
     class4       0.33      0.20      0.25        15
     class5       0.15      0.13      0.14        30
     class6       0.55      0.57      0.56        47
     class7       0.19      0.20      0.20        25
     class8       0.43      0.62      0.51        24
     class9       0.12      0.11      0.11        28
    class10       0.37      0.45      0.40        38
    class11       0.36      0.30      0.33        33
    class12       0.17      0.20      0.19        25
    class13       0.08      0.08      0.08        13
    class14       0.26      0.22      0.24        27
    class15       0.68      0.81      0.74        26
    class16       0.32      0.32      0.32        34
    class17       0.61      0.58      0.60        48
    class18       0.12      0.16      0.14        38
    class19       0.21      0.19      0.20        48
    class20       0.26      0.27      0.27        22
    class21       0.38      0.40      0.39        47
    class22       0.19      0.19      0.19        43
    class23       0.49      0.41      0.44        44
    class24       0.31      0.35      0.33        48
    class25       0.32      0.31      0.32        35
    class26       0.35      0.53      0.42        15
    class27       0.26      0.18      0.21        34
    class28       0.43      0.46      0.44        35
    class29       0.20      0.17      0.18        18

avg / total       0.34      0.34      0.34       951
Cross_val1, PCA_comp:30MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.65      0.55      0.59        40
     class2       0.27      0.42      0.33        31
     class3       0.33      0.47      0.39        40
     class4       0.42      0.53      0.47        15
     class5       0.38      0.20      0.26        30
     class6       0.61      0.57      0.59        47
     class7       0.17      0.16      0.17        25
     class8       0.62      0.54      0.58        24
     class9       0.17      0.32      0.23        28
    class10       0.35      0.29      0.32        38
    class11       0.17      0.30      0.22        33
    class12       0.19      0.12      0.15        25
    class13       0.38      0.23      0.29        13
    class14       0.16      0.30      0.21        27
    class15       0.66      0.81      0.72        26
    class16       0.48      0.32      0.39        34
    class17       0.69      0.60      0.64        48
    class18       0.21      0.18      0.19        38
    class19       0.30      0.19      0.23        48
    class20       0.18      0.18      0.18        22
    class21       0.37      0.40      0.38        47
    class22       0.09      0.07      0.08        43
    class23       0.41      0.41      0.41        44
    class24       0.31      0.27      0.29        48
    class25       0.51      0.51      0.51        35
    class26       0.33      0.20      0.25        15
    class27       0.11      0.09      0.10        34
    class28       0.51      0.57      0.54        35
    class29       0.44      0.22      0.30        18

avg / total       0.37      0.36      0.35       951
Cross_val1, PCA_comp:60MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.54      0.55      0.54        40
     class2       0.24      0.29      0.26        31
     class3       0.46      0.42      0.44        40
     class4       0.38      0.33      0.36        15
     class5       0.32      0.27      0.29        30
     class6       0.63      0.68      0.65        47
     class7       0.33      0.32      0.33        25
     class8       0.54      0.62      0.58        24
     class9       0.20      0.14      0.17        28
    class10       0.36      0.39      0.38        38
    class11       0.31      0.24      0.27        33
    class12       0.12      0.12      0.12        25
    class13       0.29      0.31      0.30        13
    class14       0.21      0.22      0.22        27
    class15       0.66      0.73      0.69        26
    class16       0.34      0.38      0.36        34
    class17       0.62      0.65      0.63        48
    class18       0.34      0.37      0.35        38
    class19       0.18      0.19      0.18        48
    class20       0.41      0.41      0.41        22
    class21       0.35      0.40      0.38        47
    class22       0.16      0.12      0.14        43
    class23       0.49      0.55      0.52        44
    class24       0.32      0.31      0.32        48
    class25       0.44      0.49      0.46        35
    class26       0.33      0.33      0.33        15
    class27       0.22      0.15      0.18        34
    class28       0.61      0.66      0.63        35
    class29       0.29      0.22      0.25        18

avg / total       0.38      0.39      0.38       951
Cross_val1, PCA_comp:80MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.60      0.53      0.56        40
     class2       0.33      0.32      0.33        31
     class3       0.40      0.35      0.37        40
     class4       0.45      0.33      0.38        15
     class5       0.28      0.23      0.25        30
     class6       0.60      0.64      0.62        47
     class7       0.16      0.16      0.16        25
     class8       0.58      0.58      0.58        24
     class9       0.19      0.18      0.18        28
    class10       0.33      0.37      0.35        38
    class11       0.44      0.33      0.38        33
    class12       0.16      0.16      0.16        25
    class13       0.33      0.23      0.27        13
    class14       0.18      0.19      0.18        27
    class15       0.62      0.81      0.70        26
    class16       0.28      0.41      0.33        34
    class17       0.61      0.69      0.65        48
    class18       0.29      0.26      0.27        38
    class19       0.32      0.31      0.32        48
    class20       0.21      0.18      0.20        22
    class21       0.30      0.30      0.30        47
    class22       0.15      0.14      0.14        43
    class23       0.42      0.41      0.41        44
    class24       0.31      0.38      0.34        48
    class25       0.45      0.43      0.44        35
    class26       0.40      0.27      0.32        15
    class27       0.22      0.18      0.20        34
    class28       0.48      0.60      0.53        35
    class29       0.21      0.22      0.22        18

avg / total       0.36      0.37      0.36       951
Cross_val1, PCA_comp:100MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.43      0.50      0.47        40
     class2       0.30      0.26      0.28        31
     class3       0.41      0.40      0.41        40
     class4       0.27      0.20      0.23        15
     class5       0.27      0.20      0.23        30
     class6       0.60      0.62      0.61        47
     class7       0.17      0.16      0.16        25
     class8       0.54      0.54      0.54        24
     class9       0.25      0.25      0.25        28
    class10       0.30      0.34      0.32        38
    class11       0.30      0.30      0.30        33
    class12       0.16      0.12      0.14        25
    class13       0.31      0.31      0.31        13
    class14       0.16      0.11      0.13        27
    class15       0.62      0.77      0.69        26
    class16       0.33      0.41      0.36        34
    class17       0.59      0.67      0.63        48
    class18       0.28      0.26      0.27        38
    class19       0.28      0.35      0.31        48
    class20       0.23      0.23      0.23        22
    class21       0.30      0.34      0.32        47
    class22       0.12      0.09      0.11        43
    class23       0.50      0.48      0.49        44
    class24       0.26      0.27      0.27        48
    class25       0.45      0.40      0.42        35
    class26       0.33      0.33      0.33        15
    class27       0.24      0.18      0.20        34
    class28       0.58      0.60      0.59        35
    class29       0.18      0.22      0.20        18

avg / total       0.35      0.36      0.35       951
Cross_val2, PCA_comp:30MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.43      0.40      0.42        40
     class2       0.28      0.29      0.29        31
     class3       0.33      0.33      0.33        40
     class4       0.09      0.07      0.08        15
     class5       0.35      0.27      0.30        30
     class6       0.47      0.77      0.58        47
     class7       0.29      0.32      0.30        25
     class8       0.52      0.67      0.58        24
     class9       0.15      0.14      0.15        28
    class10       0.38      0.37      0.37        38
    class11       0.38      0.42      0.40        33
    class12       0.25      0.28      0.26        25
    class13       0.18      0.15      0.17        13
    class14       0.18      0.15      0.16        27
    class15       0.65      0.65      0.65        26
    class16       0.34      0.41      0.37        34
    class17       0.62      0.73      0.67        48
    class18       0.17      0.16      0.16        38
    class19       0.30      0.27      0.28        48
    class20       0.15      0.09      0.11        22
    class21       0.38      0.43      0.40        47
    class22       0.16      0.12      0.14        43
    class23       0.42      0.36      0.39        44
    class24       0.33      0.27      0.30        48
    class25       0.44      0.40      0.42        35
    class26       0.42      0.33      0.37        15
    class27       0.24      0.29      0.26        34
    class28       0.40      0.49      0.44        35
    class29       0.44      0.22      0.30        18

avg / total       0.35      0.36      0.35       951
Cross_val2, PCA_comp:60MLP layers: 800,1200,300             precision    recall  f1-score   support

     class1       0.51      0.53      0.52        40
     class2       0.34      0.39      0.36        31
     class3       0.42      0.33      0.37        40
     class4       0.38      0.40      0.39        15
     class5       0.46      0.43      0.45        30
     class6       0.60      0.87      0.71        47
     class7       0.39      0.28      0.33        25
     class8       0.64      0.67      0.65        24
     class9       0.29      0.25      0.27        28
    class10       0.38      0.42      0.40        38
    class11       0.32      0.39      0.35        33
    class12       0.16      0.12      0.14        25
    class13       0.22      0.15      0.18        13
    class14       0.26      0.37      0.31        27
    class15       0.73      0.85      0.79        26
    class16       0.42      0.41      0.42        34
    class17       0.59      0.71      0.64        48
    class18       0.26      0.32      0.28        38
    class19       0.33      0.25      0.29        48
    class20       0.23      0.14      0.17        22
    class21       0.42      0.47      0.44        47
    class22       0.19      0.14      0.16        43
    class23       0.59      0.52      0.55        44
    class24       0.43      0.33      0.38        48
    class25       0.48      0.46      0.47        35
    class26       0.50      0.47      0.48        15
    class27       0.36      0.41      0.38        34
    class28       0.53      0.57      0.55        35
    class29       0.27      0.22      0.24        18

avg / total       0.42      0.43      0.42       951
Cross_val2, PCA_comp:80MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.55      0.53      0.54        40
     class2       0.31      0.35      0.33        31
     class3       0.31      0.28      0.29        40
     class4       0.31      0.33      0.32        15
     class5       0.44      0.40      0.42        30
     class6       0.54      0.74      0.62        47
     class7       0.40      0.32      0.36        25
     class8       0.60      0.62      0.61        24
     class9       0.17      0.18      0.17        28
    class10       0.34      0.34      0.34        38
    class11       0.36      0.42      0.39        33
    class12       0.09      0.08      0.08        25
    class13       0.11      0.08      0.09        13
    class14       0.25      0.22      0.24        27
    class15       0.67      0.77      0.71        26
    class16       0.47      0.44      0.45        34
    class17       0.62      0.71      0.66        48
    class18       0.28      0.32      0.30        38
    class19       0.21      0.15      0.17        48
    class20       0.25      0.23      0.24        22
    class21       0.42      0.51      0.46        47
    class22       0.31      0.26      0.28        43
    class23       0.59      0.43      0.50        44
    class24       0.33      0.35      0.34        48
    class25       0.36      0.29      0.32        35
    class26       0.47      0.53      0.50        15
    class27       0.40      0.41      0.41        34
    class28       0.45      0.49      0.47        35
    class29       0.32      0.33      0.32        18

avg / total       0.39      0.40      0.39       951
Cross_val2, PCA_comp:100MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.57      0.60      0.59        40
     class2       0.26      0.35      0.30        31
     class3       0.42      0.33      0.37        40
     class4       0.42      0.33      0.37        15
     class5       0.37      0.43      0.40        30
     class6       0.63      0.79      0.70        47
     class7       0.30      0.24      0.27        25
     class8       0.54      0.62      0.58        24
     class9       0.32      0.32      0.32        28
    class10       0.42      0.34      0.38        38
    class11       0.33      0.36      0.35        33
    class12       0.21      0.20      0.20        25
    class13       0.10      0.08      0.09        13
    class14       0.38      0.33      0.35        27
    class15       0.61      0.77      0.68        26
    class16       0.46      0.47      0.46        34
    class17       0.69      0.75      0.72        48
    class18       0.21      0.26      0.24        38
    class19       0.27      0.27      0.27        48
    class20       0.35      0.32      0.33        22
    class21       0.38      0.38      0.38        47
    class22       0.29      0.23      0.26        43
    class23       0.57      0.39      0.46        44
    class24       0.40      0.35      0.37        48
    class25       0.45      0.40      0.42        35
    class26       0.44      0.47      0.45        15
    class27       0.41      0.38      0.39        34
    class28       0.44      0.54      0.49        35
    class29       0.25      0.22      0.24        18

avg / total       0.41      0.41      0.41       951
Cross_val3, PCA_comp:30MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.54      0.55      0.54        40
     class2       0.32      0.26      0.29        31
     class3       0.35      0.33      0.34        40
     class4       0.38      0.40      0.39        15
     class5       0.44      0.40      0.42        30
     class6       0.65      0.79      0.71        47
     class7       0.36      0.36      0.36        25
     class8       0.62      0.67      0.64        24
     class9       0.27      0.25      0.26        28
    class10       0.41      0.45      0.43        38
    class11       0.24      0.27      0.26        33
    class12       0.08      0.08      0.08        25
    class13       0.40      0.15      0.22        13
    class14       0.09      0.07      0.08        27
    class15       0.71      0.85      0.77        26
    class16       0.41      0.38      0.39        34
    class17       0.51      0.75      0.61        48
    class18       0.08      0.11      0.09        38
    class19       0.26      0.23      0.24        48
    class20       0.19      0.14      0.16        22
    class21       0.42      0.40      0.41        47
    class22       0.14      0.14      0.14        43
    class23       0.44      0.55      0.48        44
    class24       0.31      0.29      0.30        48
    class25       0.52      0.37      0.43        35
    class26       0.28      0.33      0.30        15
    class27       0.41      0.21      0.27        34
    class28       0.42      0.46      0.44        35
    class29       0.45      0.28      0.34        18

avg / total       0.37      0.38      0.37       951
Cross_val3, PCA_comp:60MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.53      0.57      0.55        40
     class2       0.33      0.32      0.33        31
     class3       0.33      0.42      0.37        40
     class4       0.45      0.33      0.38        15
     class5       0.42      0.33      0.37        30
     class6       0.60      0.79      0.68        47
     class7       0.35      0.24      0.29        25
     class8       0.63      0.71      0.67        24
     class9       0.27      0.29      0.28        28
    class10       0.42      0.39      0.41        38
    class11       0.30      0.39      0.34        33
    class12       0.14      0.16      0.15        25
    class13       0.57      0.31      0.40        13
    class14       0.29      0.30      0.29        27
    class15       0.67      0.85      0.75        26
    class16       0.50      0.41      0.45        34
    class17       0.67      0.67      0.67        48
    class18       0.15      0.21      0.17        38
    class19       0.36      0.31      0.33        48
    class20       0.22      0.18      0.20        22
    class21       0.50      0.47      0.48        47
    class22       0.21      0.21      0.21        43
    class23       0.55      0.52      0.53        44
    class24       0.42      0.35      0.39        48
    class25       0.33      0.29      0.31        35
    class26       0.38      0.33      0.36        15
    class27       0.32      0.26      0.29        34
    class28       0.42      0.46      0.44        35
    class29       0.45      0.28      0.34        18

avg / total       0.41      0.41      0.41       951
Cross_val3, PCA_comp:80MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.60      0.53      0.56        40
     class2       0.16      0.16      0.16        31
     class3       0.25      0.35      0.29        40
     class4       0.42      0.33      0.37        15
     class5       0.30      0.47      0.36        30
     class6       0.56      0.74      0.64        47
     class7       0.33      0.20      0.25        25
     class8       0.73      0.67      0.70        24
     class9       0.29      0.25      0.27        28
    class10       0.40      0.16      0.23        38
    class11       0.34      0.33      0.34        33
    class12       0.19      0.24      0.21        25
    class13       0.67      0.15      0.25        13
    class14       0.21      0.22      0.21        27
    class15       0.71      0.77      0.74        26
    class16       0.29      0.26      0.28        34
    class17       0.65      0.62      0.64        48
    class18       0.14      0.16      0.15        38
    class19       0.24      0.21      0.22        48
    class20       0.33      0.14      0.19        22
    class21       0.38      0.34      0.36        47
    class22       0.17      0.12      0.14        43
    class23       0.45      0.57      0.50        44
    class24       0.23      0.42      0.29        48
    class25       0.38      0.37      0.38        35
    class26       0.57      0.27      0.36        15
